"DateTime","BTC","ETH","Stablecoins","Otros"
"2018-01-07 18:00:00",276611608104.46875,112163952377.3938,1985339385.86,437776472804.27747
"2018-01-14 18:00:00",231334152097.25684,132403559879.69125,2036739774.3,339227298776.7519
"2018-01-21 18:00:00",195644593331.3828,102504306999.2203,2113474205.63,262967116663.76688
"2018-01-28 18:00:00",197870939553.95508,121268517361.52199,2849400920.88,273287540755.64294
"2018-02-04 18:00:00",139324739797.26562,81337361557.76921,2959326600.48,171549216012.48517
"2018-02-11 18:00:00",137257820779.83398,79754362747.92645,2746524548.24,180387429011.99954
"2018-02-18 18:00:00",178054980195.26953,90047658701.18137,2944222548.38,210277670267.1691
"2018-02-25 18:00:00",163283423922.60938,82705436832.3585,3096651438.85,181258597886.18213
"2018-03-04 18:00:00",194902607290.45996,84939661551.26595,3260117239.76,187405330526.5141
"2018-03-11 18:00:00",162420640875.14844,71086019104.63518,2992455672.53,152333574523.68637
"2018-03-18 18:00:00",141240445134.70117,53718639282.87649,2927543594.03,120516751188.39233
"2018-03-25 18:00:00",143959778305.66406,51598034694.193665,2998820442.32,130396042909.82227
"2018-04-01 18:00:00",116037478554.6875,37422484308.52398,2792491551.97,98853093872.81851
"2018-04-08 18:00:00",119515767465.18164,39565055112.9786,2774814610.87,104590539066.96976
"2018-04-15 18:00:00",141570843067.23633,52592174760.81393,2857518967.34,139810123812.60974
"2018-04-22 18:00:00",149448445462.36328,61490570911.9978,2922575025.68,173807572631.95892
"2018-04-29 18:00:00",160301863162.79297,68376399334,3061002853.35,207161454265.85703
"2018-05-06 18:00:00",164161152517.8164,78758746705.54007,2809192877.28,209889762811.36353
"2018-05-13 18:00:00",148403158529.49707,72847449068.61589,2716914220.08,183095350245.80704
"2018-05-20 18:00:00",145264317032.14453,71405766698.66995,2980814184.76,171226384388.4255
"2018-05-27 18:00:00",125747647841.54053,57136672102.320946,2885099782.08,140503063602.05853
"2018-06-10 18:00:00",116175107759.5459,52483739955.34872,2871544993.25,125252365179.8554
"2018-06-17 18:00:00",111319477310.87646,50008238006.351326,2889816893.66,114105274573.11221
"2018-06-24 18:00:00",105625012130.90332,45723097398.68667,2915252869.47,97363272864.94002
"2018-07-01 18:00:00",109272855080.06152,45576422047.08177,3031329375.2,99354042585.65671
"2018-07-08 18:00:00",116117589327.97852,49166922645.98693,2960841454.51,106468500523.52455
"2018-07-15 18:00:00",109029468624.83984,45364323982.81954,3017394469.15,97929766523.19061
"2018-07-22 18:00:00",127271731778.52148,46338042271.23831,2982285083.24,103881475331.0002
"2018-07-29 18:00:00",141239444979.07812,47150243496.36462,2809356928.06,106666432740.49725
"2018-08-05 18:00:00",121430864536.56006,41526865934.360146,2710015779.94,91017931995.6898
"2018-08-12 18:00:00",109111523954.15039,32433585929.30644,2630582266.71,69502763365.27316
"2018-08-19 18:00:00",111936076637.52637,30569460456.762024,2943049378.94,71532866418.81161
"2018-08-26 18:00:00",115646248486.59668,27968567432.73453,3030645093.44,69091955311.4388
"2018-09-02 18:00:00",125536575444.65332,30025069121.491455,3061679812.04,79343882397.05522
"2018-09-09 18:00:00",108759350260.05469,20153125180.166492,2960359930.24,63535970248.60882
"2018-09-16 18:00:00",112508446994.56396,22602064198.91363,2968615418.39,65156571439.582405
"2018-09-23 18:00:00",115889159338.47656,25009868629.025642,3036039654.25,82139867016.9278
"2018-09-30 18:00:00",114509724599.92676,23855852478.445736,3035637219,81877343154.1775
"2018-10-07 18:00:00",114251052224.27979,23201746333.452347,3052887316.63,77994801035.90787
"2018-10-14 18:00:00",109002222118.35938,20029798681.63995,2786507503.54,68174276802.58067
"2018-10-21 18:00:00",112433242750.5747,21074931430.862476,2427530033.53,73554627690.72281
"2018-10-28 18:00:00",112621848701.95312,21104132738.44757,2455134992.35,73744008911.0393
"2018-11-04 18:00:00",110472052802.83936,21331687092.1796,2326960529.98,75969941702.58104
"2018-11-11 18:00:00",111382004120.58984,21816330887.759235,2249766997.75,77493979886.93092
"2018-11-18 18:00:00",97705691527.53906,18300028878.27758,2326136338.85,67606280789.79336
"2018-11-25 18:00:00",69838014415.53516,12032856392.690058,2416581981,45123936688.07478
"2018-12-02 18:00:00",72180072607.18684,12052720214.163006,2522711880.12,47781278084.17015
"2018-12-09 18:00:00",62904058877.8033,9850870958.68358,2632059333.51,39223955233.75312
"2018-12-16 18:00:00",56690385176.659706,8866029607.23652,2615285310.82,35043460985.73377
"2018-12-23 18:00:00",69764786196.18088,13583037878.264086,2671880912.25,48364439355.495026
"2018-12-30 18:00:00",67490984256.3772,14577932771.752138,2688487412.81,45903625488.66067
"2019-01-06 18:00:00",71240898021.14626,16449025838.973196,2744489481.36,47817270078.15055
"2019-01-13 18:00:00",62182641664.50461,12207772317.620222,2852680726.43,40132165387.85517
"2019-01-20 18:00:00",62978933273.577194,12500023524.217134,2912777019.99,41685655122.565674
"2019-01-27 18:00:00",62742832206.18822,11849114115.275366,2904433539.92,41220247357.59641
"2019-02-03 18:00:00",60737875450.65492,11268811996.76725,2836601529.48,38906302287.59783
"2019-02-10 18:00:00",64789130003.5379,13087699616.690145,2798536464.74,42497660714.36195
"2019-02-17 18:00:00",64410100221.85637,13955286294.168228,2772396286.95,42206106017.81541
"2019-02-24 18:00:00",66837352912.046364,14226818125.576382,2769938249.71,43575568357.077255
"2019-03-03 18:00:00",67555759359.97927,13891057136.318468,2759693885.72,45341054290.212265
"2019-03-10 18:00:00",69512928001.42342,14394417058.42668,2735676511.11,48210767175.7799
"2019-03-17 18:00:00",70905328395.31006,14750183272.514877,2751729812.44,51297289025.825066
"2019-03-24 18:00:00",70857280284.75696,14444946298.66348,2772337894.84,52192692508.749565
"2019-03-31 18:00:00",72295816657.951,14912681758.601385,2756655865.71,54361604522.367615
"2019-04-07 18:00:00",91675454746.91971,18403550027.177998,2842940058.76,68873261340.3823
"2019-04-14 18:00:00",91278581802.46956,17760447034.0827,3172285430.22,64018115451.117744
"2019-04-21 18:00:00",93805881812.86179,17969745873.237835,3342528133.61,62878958980.83038
"2019-04-28 18:00:00",93419609963.274,16651220247.79316,3658811607.92,57382312824.85284
"2019-05-05 18:00:00",102335650652.96254,17288766538.888027,3669225511.41,60049824784.80944
"2019-05-12 18:00:00",123136038254.63493,19853654643.774094,3694236482.77,62714561138.77097
"2019-05-19 18:00:00",144971309448.98746,27596920216.74743,3827268826.06,78215393536.70512
"2019-05-26 18:00:00",153970325335.24185,28432641772.482677,4033018536.77,81701619357.73547
"2019-06-02 18:00:00",155065390731.39487,28726097128.86865,4047103709.13,88905378432.3165
